emp_no,first_name,last_name,gender,salary,to_date
12099,Nobuyoshi,Kuzuoka,M,104610,1/1/9999
12264,Mart,Pagter,M,51816,1/1/9999
12112,Satyanarayana,Avouris,M,76538,1/1/9999
12122,Satoru,Krone,F,46398,1/1/9999
12123,Xiahua,Syrzycki,F,64879,1/1/9999
12125,Shounak,Erman,F,41215,1/1/9999
12270,Shakhar,Kornyak,M,52840,1/1/9999
12272,Behnaam,Grandbois,F,43811,1/1/9999
12308,Mototsugu,Cronau,M,58741,1/1/9999
12149,Suebskul,Grandbois,M,109934,1/1/9999
12159,Shem,Perly,M,61210,1/1/9999
12165,Xiaobin,Maquelin,F,41951,1/1/9999
12311,Susanne,Lubachevsky,M,40000,1/1/9999
12183,Harngdar,Iisaku,M,40000,1/1/9999
12192,Feiyu,Klyachko,F,41625,1/1/9999
12327,DAIDA,Bruckman,M,67449,1/1/9999
12205,Sushant,Rossi,M,40000,1/1/9999
12206,Barton,Janetzko,F,40000,1/1/9999
12218,Yaghout,Strooper,M,40000,1/1/9999
12341,Rasiah,Luga,M,40000,1/1/9999
12411,Shao,Ibel,M,97610,1/1/9999
12343,Sorina,Slaats,M,52134,1/1/9999
12413,Hugh,Gadepally,F,53179,1/1/9999
12417,Dannz,Spelt,F,67342,1/1/9999
12365,Kamakshi,Bisiani,M,40000,1/1/9999
12422,Berhard,Demos,F,71376,1/1/9999
12454,Kerryn,Farris,F,41347,1/1/9999
12373,Mooi,Driscoll,F,75986,1/1/9999
12464,Shai,Milicic,F,50448,1/1/9999
12395,Sanjit,Felder,M,66909,1/1/9999
12475,Filipe,Roison,M,40000,1/1/9999
12487,Mona,Reghbati,F,40000,1/1/9999
12489,Arnould,Munck,F,63306,1/1/9999
12490,Jackson,Muchinsky,F,40000,1/1/9999
12497,Stein,Penz,M,81191,1/1/9999
12501,Morrie,Matheson,F,76082,1/1/9999
12504,Adly,Rosaz,F,40000,1/1/9999
12399,Mihalis,Luga,M,85582,1/1/9999
12514,Tomofumi,Melter,M,54241,1/1/9999
12596,Breannda,Roisin,M,40000,1/1/9999
12528,Conor,Cincotta,F,40000,1/1/9999
12534,Yongmao,Gerlach,M,66715,1/1/9999
12541,Shih,Nanard,M,93105,1/1/9999
12542,Kazuhide,Bouloucos,F,44176,1/1/9999
12551,Jeane,Tzvieli,M,40000,1/1/9999
12553,Aral,Vesna,M,40000,1/1/9999
12557,Stafford,Kopetz,M,41840,1/1/9999
12589,Anoosh,Chleq,M,59441,1/1/9999
12790,Gunilla,Perl,F,87760,1/1/9999
12795,Masoud,Fordan,M,56969,1/1/9999
12798,Lillian,Beeson,F,81145,1/1/9999
12803,Gad,Boissier,M,91789,1/1/9999
12815,Sushant,Junot,M,65073,1/1/9999
12819,Mountaz,Gubsky,M,48455,1/1/9999
12601,Ghassan,Simkin,M,41714,1/1/9999
12608,Nectarios,Mondadori,M,40000,1/1/9999
12635,Xinyu,Restivo,F,40000,1/1/9999
12848,Kazuhide,Smeets,M,40000,1/1/9999
12863,Leif,Matheson,M,62803,1/1/9999
12872,Marl,Schmittgen,F,56040,1/1/9999
12879,Baruch,Eugenio,M,40000,1/1/9999
12638,Yuqun,Seiwald,F,56677,1/1/9999
12890,Neven,Casley,F,66803,1/1/9999
12893,Licheng,Crouzet,M,50803,1/1/9999
12642,Suebskul,Gips,F,68271,1/1/9999
12895,Roddy,Serot,M,40000,1/1/9999
12651,Pragnesh,Bael,M,75150,1/1/9999
12905,Munehiro,Gecsei,M,58659,1/1/9999
12662,Leucio,Alvarado,M,69016,1/1/9999
12926,Heekeun,Luby,M,68314,1/1/9999
12663,Nobuyoshi,Stellhorn,M,49966,1/1/9999
12940,Odinaldo,Farrar,F,49760,1/1/9999
12941,Tommaso,Perelgut,F,67069,1/1/9999
12664,Zhonghua,Parveen,M,40000,1/1/9999
12949,Geoff,Asrin,F,40000,1/1/9999
12689,Luerbio,Boudaillier,M,59689,1/1/9999
12691,Oddvar,Gils,M,48493,1/1/9999
12697,Uri,Brizzi,M,40000,1/1/9999
12709,Ronghao,Botman,M,45510,1/1/9999
12977,Byong,Markovitch,M,61326,1/1/9999
12717,Tzu,Jiafu,F,53194,1/1/9999
12983,Elliott,Hambrick,F,57252,1/1/9999
12722,Elliott,Cheshire,F,62325,1/1/9999
12726,Fumitake,Panwar,M,61177,1/1/9999
12729,Nahla,Rahier,F,51796,1/1/9999
12731,Yongmao,Waymire,F,40000,1/1/9999
13030,Yahiko,Kroll,M,51770,1/1/9999
12732,Mara,Takanami,M,74436,1/1/9999
12734,Gil,Frijda,M,40000,1/1/9999
12755,Rildo,Rodite,F,40196,1/1/9999
13046,Vivian,Stafford,M,40000,1/1/9999
13047,Atilio,Chelton,M,52323,1/1/9999
12773,Jenwei,Lovengreen,M,65556,1/1/9999
13075,Rosella,Morrin,M,40000,1/1/9999
13076,Deniz,Skafidas,F,50582,1/1/9999
13096,Ibibia,Armand,M,52544,1/1/9999
13146,Haldon,Erie,M,61398,1/1/9999
13103,Srinidhi,Ellozy,F,40000,1/1/9999
13124,Quingbo,Garnick,F,73785,1/1/9999
13147,Shichao,Ginesta,M,77429,1/1/9999
13133,Guther,Senzako,M,67777,1/1/9999
13134,Lorien,Chepyzhov,M,51227,1/1/9999
13156,Akeel,Millington,M,48285,1/1/9999
13144,Persi,Nollmann,M,52825,1/1/9999
13165,Lucian,Benner,F,42796,1/1/9999
13168,Munir,Stentiford,F,49210,1/1/9999
13170,Cheong,Bernardeschi,M,49012,1/1/9999
13332,Nidapan,Pearson,F,40000,1/1/9999
13333,Yoshinari,Hennebert,M,50997,1/1/9999
13341,Bodh,Doering,F,40000,1/1/9999
13171,Anoosh,Birnbaum,M,40000,1/1/9999
13343,Heon,Usery,M,40000,1/1/9999
13173,Arve,Horswill,M,46354,1/1/9999
13179,Moty,Janocha,M,90233,1/1/9999
13368,Kiyokazu,Klassen,M,52872,1/1/9999
13371,Nakhoon,Riexinger,F,40000,1/1/9999
13373,Juichirou,Naumovich,M,82749,1/1/9999
13182,Kokou,Rodite,M,46832,1/1/9999
13186,Kyoichi,Barbanera,M,93138,1/1/9999
13385,Claudi,Buchter,M,40000,1/1/9999
13192,Rosita,Flowers,M,43986,1/1/9999
13386,Khosrow,Sgarro,F,91420,1/1/9999
13389,Divine,Cmelik,F,40000,1/1/9999
13392,Fumitake,Beidas,F,69221,1/1/9999
13202,Aram,Scharstein,F,51915,1/1/9999
13396,Chuanyi,Aumann,F,40000,1/1/9999
13210,Jianhua,Klassen,M,83961,1/1/9999
13402,Augustine,Dulli,M,40000,1/1/9999
13405,Randy,Baba,F,60799,1/1/9999
13407,Gio,Chenoweth,M,60348,1/1/9999
13408,Sreekrishna,Lagarias,M,52479,1/1/9999
13415,Nathalie,Speer,F,61838,1/1/9999
13213,Hein,Billawala,M,61131,1/1/9999
13422,Vishwani,Gerlach,F,59466,1/1/9999
13232,Mitchel,Fujisaki,F,40000,1/1/9999
13442,Giordano,Miake,M,40000,1/1/9999
13443,Mayuko,Puppo,M,40000,1/1/9999
13445,Renee,Dehkordi,M,53194,1/1/9999
13451,Gretta,Weiland,M,40000,1/1/9999
13457,Shooichi,Parfitt,M,40812,1/1/9999
13458,Feipei,Nivat,F,41375,1/1/9999
13463,Theron,Berstel,F,40000,1/1/9999
13233,Alselm,Chvatal,M,49414,1/1/9999
13465,Sasan,Rehfuss,M,49821,1/1/9999
13238,Ebru,Foote,F,40000,1/1/9999
13240,King,Pileggi,M,49018,1/1/9999
13493,Uinam,Jullig,F,40000,1/1/9999
13250,Zeydy,Schusler,M,47829,1/1/9999
13504,Parto,Mandell,F,41895,1/1/9999
13272,Arun,Jiang,F,40000,1/1/9999
13524,Chaoyi,Porotnikoff,F,52849,1/1/9999
13276,Yechiam,Seuren,M,65836,1/1/9999
13535,Arunas,Schlenzig,F,40000,1/1/9999
13288,Muneo,Broomell,F,40000,1/1/9999
13546,Aimee,Brookner,F,50295,1/1/9999
13549,Matk,Koprowski,M,40000,1/1/9999
13552,Ingmar,Capobianchi,M,73346,1/1/9999
13291,Georg,Stamatiou,M,54720,1/1/9999
13576,Jungsoon,Engberts,F,73022,1/1/9999
13302,Mack,Alencar,F,40000,1/1/9999
13315,Sakthirel,Stroustrup,F,40000,1/1/9999
13605,Dmitry,Encarnacion,F,70404,1/1/9999
13704,Vishu,Kumaresan,F,40000,1/1/9999
13621,Fei,Haddadi,M,73192,1/1/9999
13624,Zhigen,Yurek,M,40000,1/1/9999
13629,Dzung,Trelles,M,40000,1/1/9999
13648,Zejun,Lamba,F,47723,1/1/9999
13653,Kristen,Iivonen,M,53242,1/1/9999
13721,Sugwoo,Delgrossi,F,64754,1/1/9999
13670,Moti,Takanami,F,40000,1/1/9999
13680,Denny,Speer,M,46968,1/1/9999
13685,Weicheng,Hockney,F,48322,1/1/9999
13727,Vitali,Merey,M,50798,1/1/9999
13697,Shuichi,Weedon,M,40000,1/1/9999
13738,Bangqing,Mitchem,F,48349,1/1/9999
13766,Tremaine,Heemskerk,M,43748,1/1/9999
13894,Ult,Schonegge,F,48958,1/1/9999
13904,Youngkon,Cairo,M,73885,1/1/9999
13934,Shiv,Bratsberg,F,46507,1/1/9999
13942,Elzbieta,Esteva,M,40000,1/1/9999
13951,Mooi,Genther,F,82054,1/1/9999
13960,Nechama,Hettesheimer,M,43204,1/1/9999
13962,Maris,Ghelli,M,67965,1/1/9999
13966,Boguslaw,Cooman,F,40000,1/1/9999
13969,Jianwen,Chandrasekhar,F,60392,1/1/9999
13990,Deborah,Schapiro,F,52723,1/1/9999
13992,Ulises,Kenevan,M,81318,1/1/9999
13999,Florian,Crouzet,M,40000,1/1/9999
14005,Vojin,Stellhorn,M,40000,1/1/9999
14015,Manibrata,Picaronny,M,63084,1/1/9999
14034,Aloys,Seghrouchni,M,69700,1/1/9999
14041,Shan,DeMori,F,63235,1/1/9999
14067,Godehard,Trachtenberg,M,44669,1/1/9999
14088,Mori,Leslie,M,44821,1/1/9999
14107,Xiahua,Rindone,M,82396,1/1/9999
14111,Leszek,Cummings,F,52696,1/1/9999
14118,Kasturi,Anido,M,46248,1/1/9999
14167,Adas,Hertweck,F,40000,1/1/9999
14191,Jiann,Luby,F,40155,1/1/9999
14209,Masanao,Kusakabe,F,40000,1/1/9999
13769,Yakichi,Trogemann,F,61025,1/1/9999
14220,Tomofumi,Pargas,F,68017,1/1/9999
13775,Arve,Maierhofer,M,70161,1/1/9999
14232,Masali,Bojadziev,M,50568,1/1/9999
13786,Takushi,Berendt,F,74494,1/1/9999
14236,Xuedong,Angiulli,F,40000,1/1/9999
14237,Abdulla,Gerlach,F,57219,1/1/9999
14242,Sudhanshu,Benaini,F,40000,1/1/9999
13787,Xiaobin,Sinicrope,F,40000,1/1/9999
13792,Valery,Sury,M,59127,1/1/9999
13796,Paloma,Thorelli,M,50962,1/1/9999
13809,Kiyotoshi,Basagni,M,43735,1/1/9999
14257,Kwok,Massonet,F,40000,1/1/9999
13815,Guadalupe,Plotkin,M,40000,1/1/9999
13825,Arlette,Pell,M,54704,1/1/9999
14290,Miyeon,Olivero,M,78736,1/1/9999
13841,Christophe,Spinelli,M,52277,1/1/9999
14292,Susanna,Vigier,F,41846,1/1/9999
14298,Chriss,Granlund,F,40000,1/1/9999
14310,Marlo,Leuchs,M,40000,1/1/9999
13842,Juichirou,Cichocki,F,40000,1/1/9999
14320,Sreenivas,Schaar,M,40000,1/1/9999
14322,Shem,Kakkad,M,50363,1/1/9999
14323,Golgen,Leslie,F,40000,1/1/9999
13846,Guiseppe,Welham,M,61097,1/1/9999
13853,Mingsen,Roohalamini,M,61615,1/1/9999
14340,Vitaly,Wixon,M,42858,1/1/9999
14344,Otilia,Buescher,F,41979,1/1/9999
13859,Anoosh,Fujisawa,M,40000,1/1/9999
13884,Kensei,Swift,M,44785,1/1/9999
14354,Mong,Bojadziev,M,40000,1/1/9999
14360,Janche,Erbe,M,43476,1/1/9999
14460,Yagil,Lueh,F,56267,1/1/9999
14372,Saniya,Srimani,F,57667,1/1/9999
14384,Tomofumi,Holburn,F,58260,1/1/9999
14422,Toshimo,Gadepally,M,59001,1/1/9999
14478,Munehiro,Boissier,F,40000,1/1/9999
14434,Elvis,Maginnis,M,40000,1/1/9999
14439,Raimond,Woycyznski,M,80654,1/1/9999
14481,Moti,Lammel,M,40000,1/1/9999
14483,Supot,Marrevee,M,40000,1/1/9999
14486,Indrajit,Birdsall,M,40000,1/1/9999
14632,Gudjon,McClurg,M,40000,1/1/9999
14498,Xiong,Selenyi,M,40000,1/1/9999
14639,Arvind,Hempstead,F,79405,1/1/9999
14640,Toshimori,Kornatzky,M,42662,1/1/9999
14642,Florian,Kuhnemann,F,54553,1/1/9999
14645,Laurentiu,Glinert,F,45647,1/1/9999
14501,Taizo,Kroft,M,63646,1/1/9999
14648,IEEE,Lorys,M,89209,1/1/9999
14509,Danil,Aloia,M,40000,1/1/9999
14659,Sashi,Adachi,F,40926,1/1/9999
14513,Samphel,Barreiro,M,83273,1/1/9999
14675,Teunis,Angel,F,40000,1/1/9999
14677,Herbert,Sifakis,M,40000,1/1/9999
14515,Kazuhisa,Versino,F,61645,1/1/9999
14683,Alois,Basart,M,41107,1/1/9999
14516,Kristian,Underwood,F,73262,1/1/9999
14690,Yechezkel,Bellone,F,40000,1/1/9999
14693,Brewster,Stranks,F,59960,1/1/9999
14518,Patricia,Peir,M,64238,1/1/9999
14710,Mahmut,Hainaut,F,40341,1/1/9999
14522,Chuanyi,Ranta,F,40000,1/1/9999
14723,Constantino,Assaf,M,40000,1/1/9999
14724,Aron,Lemarechal,M,66530,1/1/9999
14537,Babette,Engelmann,F,48332,1/1/9999
14552,Ibibia,Snyers,M,40000,1/1/9999
14556,Fatemeh,Zultner,M,40000,1/1/9999
14780,Marlo,Bruckman,F,51232,1/1/9999
14785,Zhonghua,Kaiser,M,46936,1/1/9999
14793,Stein,Uchoa,M,47045,1/1/9999
14560,Elrique,Driscoll,M,62770,1/1/9999
14581,Gao,Condotta,F,59499,1/1/9999
14582,Kiyokazu,Morrin,M,40000,1/1/9999
14600,Jayson,Cairo,F,41352,1/1/9999
14814,Odysseas,Nishimukai,M,40000,1/1/9999
14817,Gaurav,Masaki,M,41203,1/1/9999
14821,Oguz,Kilgore,M,42545,1/1/9999
14839,Changho,Cronin,M,40000,1/1/9999
14603,Lech,Marquardt,M,55369,1/1/9999
14853,Taiji,Nergos,F,58311,1/1/9999
14607,Suzette,Selvestrel,M,67813,1/1/9999
14620,Jianhua,Erev,F,53303,1/1/9999
14621,Souichi,Wixon,F,66404,1/1/9999
14877,Arto,Meriste,M,40000,1/1/9999
14879,Anyuan,Sigstam,M,54322,1/1/9999
15005,Kiam,Sadowsky,M,50368,1/1/9999
14888,Temple,Barriga,F,60916,1/1/9999
14899,Alejandro,Casley,M,64365,1/1/9999
14906,Adil,Parveen,F,54758,1/1/9999
14908,Kerhong,Flanders,F,40000,1/1/9999
14909,Mohan,Kamble,M,40000,1/1/9999
14911,Xiaobin,Chelton,F,62738,1/1/9999
14914,Gretta,Benzaken,F,40000,1/1/9999
14915,Huican,Picco,M,40733,1/1/9999
15016,Woody,Gulik,F,40000,1/1/9999
14923,Shuzo,Gyorkos,M,40000,1/1/9999
14928,Satoru,Mukaidono,F,53377,1/1/9999
15018,Ramalingam,Prenel,F,40668,1/1/9999
14941,Nathan,Lichtner,M,43608,1/1/9999
14942,Heon,Benveniste,M,40000,1/1/9999
15019,Qingxiang,Shokrollahi,F,41721,1/1/9999
14949,Insup,Reinhart,F,44930,1/1/9999
14954,Fox,Magliocco,F,43510,1/1/9999
15029,Giordano,Koshino,M,40000,1/1/9999
14971,Fan,Simmen,M,55187,1/1/9999
15030,Rasikan,Nourani,M,40000,1/1/9999
14983,Hyuckchul,Pouyioutas,M,86754,1/1/9999
15036,Ziva,Delgrande,M,40000,1/1/9999
14993,Sanjay,Koblitz,M,45407,1/1/9999
15193,Neelam,Schach,M,47039,1/1/9999
15196,Souichi,Duclos,M,55824,1/1/9999
15202,Pranay,Irland,M,40000,1/1/9999
