emp_no,first_name,last_name,to_date
11113,Shahab,Peng,1/1/9999
11121,Vugranam,Kakkad,1/1/9999
11133,Nalini,Azulay,1/1/9999
11134,Sachar,Rajcani,1/1/9999
11137,Hugh,Luca,1/1/9999
11139,Bogdan,Homond,1/1/9999
11146,Ishfaq,Masand,1/1/9999
11148,Zhanqiu,Botman,1/1/9999
11162,Kauko,Narlikar,1/1/9999
11180,Mitsuyuki,Bojadziev,1/1/9999
11197,Tadahiro,Fordan,1/1/9999
11204,Diederik,Covnot,1/1/9999
11207,Saeed,Gips,1/1/9999
11208,Saniya,Valtorta,1/1/9999
11211,Yurij,Rissland,1/1/9999
11217,Kellie,Mawatari,1/1/9999
11232,Hidefumi,Crelier,1/1/9999
11240,Kiam,Condotta,1/1/9999
11249,Randi,Cyre,1/1/9999
11251,Bezalel,Chinal,1/1/9999
11268,Aimee,Petersohn,1/1/9999
11275,Hitomi,Eppinger,1/1/9999
11290,Visit,Dredge,1/1/9999
11295,Abdelkader,Lanzelotte,1/1/9999
11319,Pranas,Marrakchi,1/1/9999
11320,Atilio,McAlpine,1/1/9999
11322,Nathalie,Pocchiola,1/1/9999
11324,Kauko,Billingsley,1/1/9999
11338,Kwangsub,Hanratty,1/1/9999
11339,Flemming,Massonet,1/1/9999
11347,Anneli,Jonsson,1/1/9999
11365,Toshimi,Shinomoto,1/1/9999
11376,Valery,Suomi,1/1/9999
11380,Kenroku,Pelc,1/1/9999
11385,Shiv,Ullian,1/1/9999
11386,Alselm,Assaf,1/1/9999
11393,Junsik,Junot,1/1/9999
11398,Oscar,Peir,1/1/9999
11404,Bedrich,Borovoy,1/1/9999
11415,Sanjiv,Anido,1/1/9999
11421,Josyula,Msuda,1/1/9999
11441,Marlo,Aingworth,1/1/9999
11449,Kotesh,Asser,1/1/9999
11459,Duke,Suomi,1/1/9999
11469,Guttorm,Giaccio,1/1/9999
11506,Rance,Picel,1/1/9999
11509,Aleksander,Feldhoffer,1/1/9999
11513,Otmar,Mahnke,1/1/9999
11515,Ulf,Basawa,1/1/9999
11518,Jinxi,Oxman,1/1/9999
11524,Xiadong,Standera,1/1/9999
11527,Alagu,Boyle,1/1/9999
11528,Zito,Dolinsky,1/1/9999
11537,DAIDA,Pehl,1/1/9999
11554,Subhash,Taubenfeld,1/1/9999
11555,Kotesh,Perfilyeva,1/1/9999
11567,Teiji,Mitzlaff,1/1/9999
11568,Martins,Fujisaki,1/1/9999
11603,Herb,Swen,1/1/9999
11607,Tomokazu,Foong,1/1/9999
11615,Shem,Isaak,1/1/9999
11624,Adil,Gammage,1/1/9999
11628,Fan,Malinowski,1/1/9999
11640,Valeri,Coorg,1/1/9999
11647,Magy,Nitsche,1/1/9999
11660,Gill,Stenning,1/1/9999
11673,Henk,Felder,1/1/9999
11676,Valeri,Ferriere,1/1/9999
11681,Fumitake,Benzmuller,1/1/9999
11684,Oksana,Gide,1/1/9999
11696,Dante,Rothe,1/1/9999
11732,Sanjoy,Ranft,1/1/9999
11735,Amalendu,Picci,1/1/9999
11746,Koichi,Marrakchi,1/1/9999
11751,Jiafu,Emiris,1/1/9999
11764,Sanjay,Anick,1/1/9999
11769,Chandrasekaran,Lampe,1/1/9999
11772,Gaurav,Penz,1/1/9999
11797,Chenxi,Thambidurai,1/1/9999
11810,Amabile,Bhattacharjee,1/1/9999
11817,Niranjan,Markovitch,1/1/9999
11832,Arto,Zlotek,1/1/9999
11844,Shawna,Demeyer,1/1/9999
11853,Zeljko,Kusakabe,1/1/9999
11857,Divier,Farrag,1/1/9999
11864,Pradeep,Kriebel,1/1/9999
11871,Nalini,Sommen,1/1/9999
11872,Cheong,Riexinger,1/1/9999
11894,Mitchel,Validov,1/1/9999
11897,Cordelia,Setlzner,1/1/9999
11906,Hideo,Boguraev,1/1/9999
11915,Miomir,Mawatari,1/1/9999
11931,Gunilla,Chiodo,1/1/9999
11933,Basil,Erman,1/1/9999
11949,Martijn,Harbusch,1/1/9999
11983,Jaana,Hedayat,1/1/9999
11993,Marit,Dalphin,1/1/9999
12011,Zhilian,Coorg,1/1/9999
12036,Mads,Ratzlaff,1/1/9999
12037,Arunas,Katzenelson,1/1/9999
12050,Yuchang,Tchuente,1/1/9999
12062,Margareta,Worfolk,1/1/9999
12069,Ayonca,Burnard,1/1/9999
12070,Ger,Shokrollahi,1/1/9999
12076,Karlis,Siprelle,1/1/9999
12082,Xinan,Yamaashi,1/1/9999
12089,Bilhanan,Socorro,1/1/9999
12099,Nobuyoshi,Kuzuoka,1/1/9999
12112,Satyanarayana,Avouris,1/1/9999
12122,Satoru,Krone,1/1/9999
12123,Xiahua,Syrzycki,1/1/9999
12125,Shounak,Erman,1/1/9999
12149,Suebskul,Grandbois,1/1/9999
12159,Shem,Perly,1/1/9999
12165,Xiaobin,Maquelin,1/1/9999
12183,Harngdar,Iisaku,1/1/9999
12192,Feiyu,Klyachko,1/1/9999
12205,Sushant,Rossi,1/1/9999
12206,Barton,Janetzko,1/1/9999
12218,Yaghout,Strooper,1/1/9999
12221,Vincent,Melter,1/1/9999
12222,Abdelwaheb,Holburn,1/1/9999
12223,Niteen,Koyama,1/1/9999
12247,Subbu,Penttonen,1/1/9999
12249,Eldridge,Sadowski,1/1/9999
12256,Guadalupe,Reghbati,1/1/9999
12264,Mart,Pagter,1/1/9999
12270,Shakhar,Kornyak,1/1/9999
12272,Behnaam,Grandbois,1/1/9999
12308,Mototsugu,Cronau,1/1/9999
12311,Susanne,Lubachevsky,1/1/9999
12327,DAIDA,Bruckman,1/1/9999
12341,Rasiah,Luga,1/1/9999
12343,Sorina,Slaats,1/1/9999
12365,Kamakshi,Bisiani,1/1/9999
12373,Mooi,Driscoll,1/1/9999
12395,Sanjit,Felder,1/1/9999
12399,Mihalis,Luga,1/1/9999
12411,Shao,Ibel,1/1/9999
12413,Hugh,Gadepally,1/1/9999
12417,Dannz,Spelt,1/1/9999
12422,Berhard,Demos,1/1/9999
12454,Kerryn,Farris,1/1/9999
12464,Shai,Milicic,1/1/9999
12475,Filipe,Roison,1/1/9999
12487,Mona,Reghbati,1/1/9999
12489,Arnould,Munck,1/1/9999
12490,Jackson,Muchinsky,1/1/9999
12497,Stein,Penz,1/1/9999
12501,Morrie,Matheson,1/1/9999
12504,Adly,Rosaz,1/1/9999
12514,Tomofumi,Melter,1/1/9999
12528,Conor,Cincotta,1/1/9999
12534,Yongmao,Gerlach,1/1/9999
12541,Shih,Nanard,1/1/9999
12542,Kazuhide,Bouloucos,1/1/9999
12551,Jeane,Tzvieli,1/1/9999
12553,Aral,Vesna,1/1/9999
12557,Stafford,Kopetz,1/1/9999
12589,Anoosh,Chleq,1/1/9999
12596,Breannda,Roisin,1/1/9999
12601,Ghassan,Simkin,1/1/9999
12608,Nectarios,Mondadori,1/1/9999
12635,Xinyu,Restivo,1/1/9999
12638,Yuqun,Seiwald,1/1/9999
12642,Suebskul,Gips,1/1/9999
12651,Pragnesh,Bael,1/1/9999
12662,Leucio,Alvarado,1/1/9999
12663,Nobuyoshi,Stellhorn,1/1/9999
12664,Zhonghua,Parveen,1/1/9999
12689,Luerbio,Boudaillier,1/1/9999
12691,Oddvar,Gils,1/1/9999
12697,Uri,Brizzi,1/1/9999
12709,Ronghao,Botman,1/1/9999
12717,Tzu,Jiafu,1/1/9999
12722,Elliott,Cheshire,1/1/9999
12726,Fumitake,Panwar,1/1/9999
12729,Nahla,Rahier,1/1/9999
12731,Yongmao,Waymire,1/1/9999
12732,Mara,Takanami,1/1/9999
12734,Gil,Frijda,1/1/9999
12755,Rildo,Rodite,1/1/9999
12773,Jenwei,Lovengreen,1/1/9999
12790,Gunilla,Perl,1/1/9999
12795,Masoud,Fordan,1/1/9999
12798,Lillian,Beeson,1/1/9999
12803,Gad,Boissier,1/1/9999
12815,Sushant,Junot,1/1/9999
12819,Mountaz,Gubsky,1/1/9999
12848,Kazuhide,Smeets,1/1/9999
12863,Leif,Matheson,1/1/9999
12872,Marl,Schmittgen,1/1/9999
12879,Baruch,Eugenio,1/1/9999
12890,Neven,Casley,1/1/9999
12893,Licheng,Crouzet,1/1/9999
12895,Roddy,Serot,1/1/9999
12905,Munehiro,Gecsei,1/1/9999
12926,Heekeun,Luby,1/1/9999
12940,Odinaldo,Farrar,1/1/9999
12941,Tommaso,Perelgut,1/1/9999
12949,Geoff,Asrin,1/1/9999
12977,Byong,Markovitch,1/1/9999
12983,Elliott,Hambrick,1/1/9999
13030,Yahiko,Kroll,1/1/9999
13046,Vivian,Stafford,1/1/9999
13047,Atilio,Chelton,1/1/9999
13075,Rosella,Morrin,1/1/9999
13076,Deniz,Skafidas,1/1/9999
13096,Ibibia,Armand,1/1/9999
13103,Srinidhi,Ellozy,1/1/9999
13124,Quingbo,Garnick,1/1/9999
13133,Guther,Senzako,1/1/9999
13134,Lorien,Chepyzhov,1/1/9999
13144,Persi,Nollmann,1/1/9999
13146,Haldon,Erie,1/1/9999
13147,Shichao,Ginesta,1/1/9999
13156,Akeel,Millington,1/1/9999
13165,Lucian,Benner,1/1/9999
13168,Munir,Stentiford,1/1/9999
13170,Cheong,Bernardeschi,1/1/9999
13171,Anoosh,Birnbaum,1/1/9999
13173,Arve,Horswill,1/1/9999
13179,Moty,Janocha,1/1/9999
13182,Kokou,Rodite,1/1/9999
13186,Kyoichi,Barbanera,1/1/9999
13192,Rosita,Flowers,1/1/9999
13202,Aram,Scharstein,1/1/9999
13210,Jianhua,Klassen,1/1/9999
13213,Hein,Billawala,1/1/9999
13232,Mitchel,Fujisaki,1/1/9999
13233,Alselm,Chvatal,1/1/9999
13238,Ebru,Foote,1/1/9999
13240,King,Pileggi,1/1/9999
13250,Zeydy,Schusler,1/1/9999
13272,Arun,Jiang,1/1/9999
13276,Yechiam,Seuren,1/1/9999
13288,Muneo,Broomell,1/1/9999
13291,Georg,Stamatiou,1/1/9999
13302,Mack,Alencar,1/1/9999
13315,Sakthirel,Stroustrup,1/1/9999
13332,Nidapan,Pearson,1/1/9999
13333,Yoshinari,Hennebert,1/1/9999
13341,Bodh,Doering,1/1/9999
13343,Heon,Usery,1/1/9999
13368,Kiyokazu,Klassen,1/1/9999
13371,Nakhoon,Riexinger,1/1/9999
13373,Juichirou,Naumovich,1/1/9999
13385,Claudi,Buchter,1/1/9999
13386,Khosrow,Sgarro,1/1/9999
13389,Divine,Cmelik,1/1/9999
13392,Fumitake,Beidas,1/1/9999
13396,Chuanyi,Aumann,1/1/9999
13402,Augustine,Dulli,1/1/9999
13405,Randy,Baba,1/1/9999
13407,Gio,Chenoweth,1/1/9999
13408,Sreekrishna,Lagarias,1/1/9999
13415,Nathalie,Speer,1/1/9999
13422,Vishwani,Gerlach,1/1/9999
13442,Giordano,Miake,1/1/9999
13443,Mayuko,Puppo,1/1/9999
13445,Renee,Dehkordi,1/1/9999
13451,Gretta,Weiland,1/1/9999
13457,Shooichi,Parfitt,1/1/9999
13458,Feipei,Nivat,1/1/9999
13463,Theron,Berstel,1/1/9999
13465,Sasan,Rehfuss,1/1/9999
13493,Uinam,Jullig,1/1/9999
13504,Parto,Mandell,1/1/9999
13524,Chaoyi,Porotnikoff,1/1/9999
13535,Arunas,Schlenzig,1/1/9999
13546,Aimee,Brookner,1/1/9999
13549,Matk,Koprowski,1/1/9999
13552,Ingmar,Capobianchi,1/1/9999
13576,Jungsoon,Engberts,1/1/9999
13605,Dmitry,Encarnacion,1/1/9999
13621,Fei,Haddadi,1/1/9999
13624,Zhigen,Yurek,1/1/9999
13629,Dzung,Trelles,1/1/9999
13648,Zejun,Lamba,1/1/9999
13653,Kristen,Iivonen,1/1/9999
13670,Moti,Takanami,1/1/9999
13680,Denny,Speer,1/1/9999
13685,Weicheng,Hockney,1/1/9999
13697,Shuichi,Weedon,1/1/9999
13704,Vishu,Kumaresan,1/1/9999
13721,Sugwoo,Delgrossi,1/1/9999
13727,Vitali,Merey,1/1/9999
13738,Bangqing,Mitchem,1/1/9999
13766,Tremaine,Heemskerk,1/1/9999
13769,Yakichi,Trogemann,1/1/9999
13775,Arve,Maierhofer,1/1/9999
13786,Takushi,Berendt,1/1/9999
13787,Xiaobin,Sinicrope,1/1/9999
13792,Valery,Sury,1/1/9999
13796,Paloma,Thorelli,1/1/9999
13809,Kiyotoshi,Basagni,1/1/9999
13815,Guadalupe,Plotkin,1/1/9999
13825,Arlette,Pell,1/1/9999
13841,Christophe,Spinelli,1/1/9999
13842,Juichirou,Cichocki,1/1/9999
13846,Guiseppe,Welham,1/1/9999
13853,Mingsen,Roohalamini,1/1/9999
13859,Anoosh,Fujisawa,1/1/9999
13884,Kensei,Swift,1/1/9999
13894,Ult,Schonegge,1/1/9999
13904,Youngkon,Cairo,1/1/9999
13934,Shiv,Bratsberg,1/1/9999
13942,Elzbieta,Esteva,1/1/9999
13951,Mooi,Genther,1/1/9999
13960,Nechama,Hettesheimer,1/1/9999
13962,Maris,Ghelli,1/1/9999
13966,Boguslaw,Cooman,1/1/9999
13969,Jianwen,Chandrasekhar,1/1/9999
13990,Deborah,Schapiro,1/1/9999
13992,Ulises,Kenevan,1/1/9999
13999,Florian,Crouzet,1/1/9999
14005,Vojin,Stellhorn,1/1/9999
14015,Manibrata,Picaronny,1/1/9999
14034,Aloys,Seghrouchni,1/1/9999
14041,Shan,DeMori,1/1/9999
14067,Godehard,Trachtenberg,1/1/9999
14088,Mori,Leslie,1/1/9999
14107,Xiahua,Rindone,1/1/9999
14111,Leszek,Cummings,1/1/9999
14118,Kasturi,Anido,1/1/9999
14167,Adas,Hertweck,1/1/9999
14191,Jiann,Luby,1/1/9999
14209,Masanao,Kusakabe,1/1/9999
14220,Tomofumi,Pargas,1/1/9999
14232,Masali,Bojadziev,1/1/9999
14236,Xuedong,Angiulli,1/1/9999
14237,Abdulla,Gerlach,1/1/9999
14242,Sudhanshu,Benaini,1/1/9999
14257,Kwok,Massonet,1/1/9999
14290,Miyeon,Olivero,1/1/9999
14292,Susanna,Vigier,1/1/9999
14298,Chriss,Granlund,1/1/9999
14310,Marlo,Leuchs,1/1/9999
14320,Sreenivas,Schaar,1/1/9999
14322,Shem,Kakkad,1/1/9999
14323,Golgen,Leslie,1/1/9999
14340,Vitaly,Wixon,1/1/9999
14344,Otilia,Buescher,1/1/9999
14354,Mong,Bojadziev,1/1/9999
14360,Janche,Erbe,1/1/9999
14372,Saniya,Srimani,1/1/9999
14384,Tomofumi,Holburn,1/1/9999
14422,Toshimo,Gadepally,1/1/9999
14434,Elvis,Maginnis,1/1/9999
14439,Raimond,Woycyznski,1/1/9999
14460,Yagil,Lueh,1/1/9999
14478,Munehiro,Boissier,1/1/9999
14481,Moti,Lammel,1/1/9999
14483,Supot,Marrevee,1/1/9999
14486,Indrajit,Birdsall,1/1/9999
14498,Xiong,Selenyi,1/1/9999
14501,Taizo,Kroft,1/1/9999
14509,Danil,Aloia,1/1/9999
14513,Samphel,Barreiro,1/1/9999
14515,Kazuhisa,Versino,1/1/9999
14516,Kristian,Underwood,1/1/9999
14518,Patricia,Peir,1/1/9999
14522,Chuanyi,Ranta,1/1/9999
14537,Babette,Engelmann,1/1/9999
14552,Ibibia,Snyers,1/1/9999
14556,Fatemeh,Zultner,1/1/9999
14560,Elrique,Driscoll,1/1/9999
14581,Gao,Condotta,1/1/9999
14582,Kiyokazu,Morrin,1/1/9999
14600,Jayson,Cairo,1/1/9999
14603,Lech,Marquardt,1/1/9999
14607,Suzette,Selvestrel,1/1/9999
14620,Jianhua,Erev,1/1/9999
14621,Souichi,Wixon,1/1/9999
14632,Gudjon,McClurg,1/1/9999
14639,Arvind,Hempstead,1/1/9999
14640,Toshimori,Kornatzky,1/1/9999
14642,Florian,Kuhnemann,1/1/9999
14645,Laurentiu,Glinert,1/1/9999
14648,IEEE,Lorys,1/1/9999
14659,Sashi,Adachi,1/1/9999
14675,Teunis,Angel,1/1/9999
14677,Herbert,Sifakis,1/1/9999
14683,Alois,Basart,1/1/9999
14690,Yechezkel,Bellone,1/1/9999
14693,Brewster,Stranks,1/1/9999
14710,Mahmut,Hainaut,1/1/9999
14723,Constantino,Assaf,1/1/9999
14724,Aron,Lemarechal,1/1/9999
14780,Marlo,Bruckman,1/1/9999
14785,Zhonghua,Kaiser,1/1/9999
14793,Stein,Uchoa,1/1/9999
14814,Odysseas,Nishimukai,1/1/9999
14817,Gaurav,Masaki,1/1/9999
14821,Oguz,Kilgore,1/1/9999
14839,Changho,Cronin,1/1/9999
14853,Taiji,Nergos,1/1/9999
14877,Arto,Meriste,1/1/9999
14879,Anyuan,Sigstam,1/1/9999
14888,Temple,Barriga,1/1/9999
14899,Alejandro,Casley,1/1/9999
14906,Adil,Parveen,1/1/9999
14908,Kerhong,Flanders,1/1/9999
14909,Mohan,Kamble,1/1/9999
14911,Xiaobin,Chelton,1/1/9999
14914,Gretta,Benzaken,1/1/9999
14915,Huican,Picco,1/1/9999
14923,Shuzo,Gyorkos,1/1/9999
14928,Satoru,Mukaidono,1/1/9999
14941,Nathan,Lichtner,1/1/9999
14942,Heon,Benveniste,1/1/9999
14949,Insup,Reinhart,1/1/9999
14954,Fox,Magliocco,1/1/9999
14971,Fan,Simmen,1/1/9999
14983,Hyuckchul,Pouyioutas,1/1/9999
14993,Sanjay,Koblitz,1/1/9999
15005,Kiam,Sadowsky,1/1/9999
15016,Woody,Gulik,1/1/9999
15018,Ramalingam,Prenel,1/1/9999
15019,Qingxiang,Shokrollahi,1/1/9999
15029,Giordano,Koshino,1/1/9999
15030,Rasikan,Nourani,1/1/9999
15036,Ziva,Delgrande,1/1/9999
15049,Khun,Waymire,1/1/9999
15052,Flemming,Kranzdorf,1/1/9999
15055,Shrikanth,Sherertz,1/1/9999
15066,Tomokazu,Oaver,1/1/9999
15069,Manton,Siksek,1/1/9999
15071,Ayonca,Couchot,1/1/9999
15075,Radoslaw,Rijsenbrij,1/1/9999
15077,Toshiki,Taubenfeld,1/1/9999
15082,Guadalupe,Zirintsis,1/1/9999
15087,Chirstian,Ushiama,1/1/9999
15089,Giri,Coney,1/1/9999
15092,Remmert,Bahi,1/1/9999
15102,Luigi,Axelband,1/1/9999
15105,Sudhanshu,Itzigehl,1/1/9999
15114,Pantung,Honglei,1/1/9999
15134,Arun,Luiz,1/1/9999
15145,Haldon,Servieres,1/1/9999
15151,Urs,Pouyioutas,1/1/9999
15176,Charlene,Sankaranarayanan,1/1/9999
15193,Neelam,Schach,1/1/9999
15196,Souichi,Duclos,1/1/9999
15202,Pranay,Irland,1/1/9999
15208,Sudharsan,Shokrollahi,1/1/9999
15218,Shuky,Conry,1/1/9999
15228,Mona,Salvesen,1/1/9999
15230,Keiichiro,Suessmith,1/1/9999
15234,Jouko,Zhiwei,1/1/9999
15237,Reinhard,Sadowsky,1/1/9999
15243,Mountaz,Famili,1/1/9999
15248,Edwin,Baar,1/1/9999
15253,Ayonca,Pardalos,1/1/9999
15269,Eric,Reghbati,1/1/9999
15271,Shiv,Bernardeschi,1/1/9999
15292,Miyeon,Lammel,1/1/9999
15324,Ziya,Lunn,1/1/9999
15329,Fan,Openshaw,1/1/9999
15330,Jaroslava,Chinal,1/1/9999
15337,Masaru,Radivojevic,1/1/9999
15343,Chaosheng,Luce,1/1/9999
15354,Chikara,Nyrup,1/1/9999
15365,Mikhail,Schiettecatte,1/1/9999
15369,Premal,Penttonen,1/1/9999
15370,Chuanyi,Nilsson,1/1/9999
15372,Nahum,Broder,1/1/9999
15375,Shuho,Manders,1/1/9999
15377,Shugo,Aumann,1/1/9999
15382,Alassane,Siegrist,1/1/9999
15392,Pradeep,Markovitch,1/1/9999
15408,Maik,Penttonen,1/1/9999
15410,Wilmer,Kushner,1/1/9999
15412,Huai,Thiria,1/1/9999
15438,Constantijn,Munoz,1/1/9999
15441,Arvind,Weisert,1/1/9999
15452,Kazuhira,Weedman,1/1/9999
15454,Hongzue,Cesareni,1/1/9999
15470,Weiwu,Huhdanpaa,1/1/9999
15474,Gilbert,Plumb,1/1/9999
15479,Zhenbing,Soicher,1/1/9999
15480,Kwok,Trogemann,1/1/9999
15504,Kasturi,Alpin,1/1/9999
15505,Collette,Mikschl,1/1/9999
15510,Inderjeet,Sethi,1/1/9999
15511,George,Kowalchuk,1/1/9999
15518,Uno,Valtorta,1/1/9999
15525,Masadi,Cherinka,1/1/9999
15534,Guozhong,Grabner,1/1/9999
15543,Mingdong,Staelin,1/1/9999
15548,Sanjai,Caine,1/1/9999
15563,Constantino,Zykh,1/1/9999
15565,TRUE,Muchinsky,1/1/9999
15566,Baoqiu,Azuma,1/1/9999
15600,Mack,Perna,1/1/9999
15601,Carrsten,Anily,1/1/9999
15651,Huan,Iwayama,1/1/9999
15656,Mohammad,Schaaf,1/1/9999
15682,Hiroyasu,Przulj,1/1/9999
15687,Dekang,Ambroszkiewicz,1/1/9999
15703,Chenye,Hanratty,1/1/9999
15708,Reuven,Kushnir,1/1/9999
15714,Troy,Bala,1/1/9999
15715,Insup,Ibel,1/1/9999
15726,Zhilian,Parascandalo,1/1/9999
15739,Poorav,Bahr,1/1/9999
15740,Stepehn,Pocchiola,1/1/9999
15750,Arumugam,Bresenham,1/1/9999
15765,Tonny,Taubenfeld,1/1/9999
15767,Baocai,Broomell,1/1/9999
15769,Pranay,Oskamp,1/1/9999
15788,Taegyun,Deyuan,1/1/9999
15799,Manton,Gelosh,1/1/9999
15809,Mingsen,Antonisse,1/1/9999
15819,Magdalena,Rajcani,1/1/9999
15821,Aleksander,Antonakopoulos,1/1/9999
15846,Bowen,Litecky,1/1/9999
15861,Gio,Anido,1/1/9999
15866,Angel,Seiwald,1/1/9999
15869,Guoxiang,Bala,1/1/9999
15876,Munehiro,Vakili,1/1/9999
15877,Yannik,Kroll,1/1/9999
15880,Miquel,Dechter,1/1/9999
15889,Sasan,Azumi,1/1/9999
15892,Lunjin,Pettis,1/1/9999
15901,Marsja,Fargier,1/1/9999
15902,Kazuhide,Stille,1/1/9999
15905,DeForest,Petersohn,1/1/9999
15911,Shaibal,Viele,1/1/9999
15934,Kensyu,Shinomoto,1/1/9999
15938,Garnik,Covnot,1/1/9999
15942,Murthy,Rosca,1/1/9999
15943,Yakkov,Demke,1/1/9999
15945,Hauke,Larfeldt,1/1/9999
15948,Karoline,Versino,1/1/9999
15955,Yuguang,Dratva,1/1/9999
15971,Arumugam,Aloia,1/1/9999
15977,King,Ballarin,1/1/9999
15978,Kaijung,Wielonsky,1/1/9999
15993,Yoshimitsu,Peir,1/1/9999
16000,Marek,Demos,1/1/9999
16018,Boutros,Papadias,1/1/9999
16019,Chaoyi,Heystek,1/1/9999
16025,Doowon,Luce,1/1/9999
16028,JiYoung,Takkinen,1/1/9999
16033,Wayne,Spelt,1/1/9999
16052,Maria,Rodham,1/1/9999
16066,Marsha,Penn,1/1/9999
16068,Leandro,Zongker,1/1/9999
16076,Marko,Ebeling,1/1/9999
16077,Kannan,Heemskerk,1/1/9999
16086,Mohammad,Denos,1/1/9999
16094,Berto,Rosar,1/1/9999
16099,Mohan,Ferretti,1/1/9999
16126,Tse,Crabtree,1/1/9999
